x0,x1,V,absolute,relative,,
0.01,0.99,42.60911415,0.998960895,1.009801399,0.999122194,-482.551205
0.108,0.892,42.60911415,1.000371944,0.877106276,0.998439994,-7.669467843
0.206,0.794,42.60911416,1.001415481,0.737706784,1.002005999,-2.955600022
0.304,0.696,42.60911416,1.001875222,0.561117798,1.000622318,-1.328966477
0.402,0.598,42.60911416,1.001188672,0.32307025,0.998106518,-0.509187309
0.5,0.5,42.60911417,1.001896235,-0.009053874,1.001391543,-0.009451487
0.598,0.402,42.60911417,0.99933691,-0.506788084,1.001409728,0.321468361
0.696,0.304,42.60911417,1.002152375,-1.32876103,1.001478688,0.560391039
0.794,0.206,42.60911417,1.001159286,-2.949101585,1.001725855,0.74110694
0.892,0.108,42.60911418,0.998586634,-7.664726612,0.998956991,0.880108218
0.99,0.01,42.60911418,1.049165031,-461.6777528,1.069101345,1.010546565
