x0,x1,V,absolute,relative,absolute,relative
0.01,0.99,42.6091147,0.995007155,0.985966479,0.995664769,-482.1308743
0.108,0.892,42.6091134,0.999880662,0.882178894,0.998604166,-7.671770112
0.206,0.794,42.60911209,1.001391839,0.739936982,1.002100664,-2.953131423
0.304,0.696,42.60911586,1.001884845,0.562259756,1.000633788,-1.329458141
0.402,0.598,42.60911456,1.001346675,0.321672365,0.998279134,-0.509126566
0.5,0.5,42.60911325,1.002158646,-0.010294515,1.001653953,-0.010020026
0.598,0.402,42.60911195,0.999421675,-0.507793848,1.0012982,0.321509146
0.696,0.304,42.60911572,1.002163707,-1.329074122,1.001258817,0.560851279
0.794,0.206,42.60911441,1.00131865,-2.954159829,1.001915258,0.741136661
0.892,0.108,42.6091131,0.998800949,-7.670255274,0.999120338,0.879503172
0.99,0.01,42.6091118,1.041779317,-488.6127137,1.072493512,1.06392368
